Year,Habitat_Region,Avg_Daily_Precip,Status,Plant_Species_Count
2029, Wet gardens,25.04,Suitable,1
2029,Riverbanks,25.04,Stable,1
2029,Dry/intermediate scrublands,25.04,Unsuitable,4
2029,"Dry zone, roadsides",25.04,Unsuitable,1
2029,Wet/intermediate marshlands,25.04,Suitable,1
2029,Dry/intermediate,25.04,Unsuitable,1
2029,Wet/intermediate home gardens,25.04,Suitable,1
2029,Dry/intermediate home gardens,25.04,Unsuitable,3
2029,Wet/intermediate coastal zones,25.04,Suitable,1
2029,Dry/intermediate forests,25.04,Unsuitable,2
2029,Wet/intermediate,25.04,Suitable,1
2029,Coastal/wet zones,25.04,Suitable,1
2030,Dry,24.89,Unsuitable,173
2030, Intermediate,24.89,Unsuitable,241
2030, Wet lowlands,24.89,Suitable,2
2030, Wet,24.89,Suitable,20
2030,Wet,24.89,Suitable,68
2030, Upcountry,24.89,Stable,8
2030, Dry home gardens,24.89,Unsuitable,2
2030, Dry zone margins,24.89,Unsuitable,1
2030,Intermediate,24.89,Unsuitable,9
2030, Dry,24.89,Unsuitable,18
2030, Wet home gardens,24.89,Suitable,3
2030, Arid,24.89,Stable,6
2030,Dry tank-bunds,24.89,Unsuitable,3
2030, cultivated,24.89,Stable,1
2030,Dry grasslands,24.89,Unsuitable,4
2030,Coastal,24.89,Likely Suitable,17
2030,Intermediate riverbanks,24.89,Unsuitable,2
2030, Dry riverine,24.89,Unsuitable,2
2030,Coastal estuaries,24.89,Likely Suitable,3
2030, lagoons,24.89,Stable,2
2030,Coastal wetlands,24.89,Suitable,2
2030, estuaries,24.89,Stable,2
2030,Coastal mangroves,24.89,Likely Suitable,4
2030,Coastal saline zones,24.89,Likely Suitable,2
2030,Wet-Intermediate transitions,24.89,Suitable,2
2030, low-country,24.89,Stable,2
2030,Wet and Intermediate forests,24.89,Suitable,2
2030,Lowland rainforest margins,24.89,Stable,2
2030, roadsides/grasslands,24.89,Stable,1
2030, cultivated and wild margins,24.89,Stable,1
2030, home-garden margins,24.89,Stable,2
2030, Wet forest margins,24.89,Suitable,2
2030, scrublands/home fences,24.89,Stable,1
2030, widely cultivated/home gardens,24.89,Stable,1
2030, riverine and deciduous zones,24.89,Stable,1
2030, Intermediate scrub and forest edges,24.89,Unsuitable,1
2030, Intermediate lowlands,24.89,Unsuitable,2
2030,Upcountry,24.89,Stable,5
2030, Intermediate montane margins,24.89,Unsuitable,1
2030, Intermediate forest margins,24.89,Unsuitable,2
2030, Intermediate scrublands,24.89,Unsuitable,2
2030, Intermediate forest edges,24.89,Unsuitable,1
2030,Wet-zone forest margins,24.89,Suitable,1
2030, Intermediate grasslands,24.89,Unsuitable,2
2030, riverine margins,24.89,Stable,1
2030,Wetlands,24.89,Suitable,11
2030, paddy margins,24.89,Stable,3
2030, lowlands,24.89,Stable,1
2030,Tanks,24.89,Stable,2
2030, ponds,24.89,Stable,3
2030, slow freshwater bodies,24.89,Stable,1
2030,Lakes,24.89,Stable,2
2030, tanks,24.89,Stable,1
2030, freshwater wetlands,24.89,Suitable,1
2030,Marshes,24.89,Stable,4
2030, stream edges,24.89,Stable,1
